Title,Key
Vermilion, Pt. 2,12035
Before I Forget,12034
My Plague,12043
I Am Hated,12049
Where Is My Mind?,12781
Zombie,14247
Only,10840
Strength Beyond Strength,15492
Army of Me,16610
Digging the Grave,7371
Ten Ton Hammer,18221
Take My Scars,18222
Davidian,9713
Old,9714
A Thousand Lies,9715
A Nation on Fire,9719
Bulletproof!,6074
Def Con One,6075
Eject,9773
No Comply,9774
Age of Panic,9766
Alive,5706
Territory,18610
Ashes to Ashes,7356
You’ll Be Under My Wheels,11670
7 Words,18786
Man in the Box,20451
Got Me Wrong,14549
Back in Black,14829
Thunderstruck,14823
Highway to Hell,14805
State of Love and Trust,5720
Something I Can Never Have,15552
Closer,6539
Wish,15392
Knives,19478
Isolation,19487
I Like Goils,18658
Angry Inch,18665
Life Is Killing Me,18661
I Don’t Wanna Be Me,18655
Through and Through,18089
Bad Seed,18092
Method of Groove,18055
Words and Music,18090
Rusty Cage,6232
Outshined,6233
Searching With My Good Eye Closed,6238
Mr. Brownstone,10505
Paradise City,10506
My Michelle,10507
Sweet Child o’ Mine,10509
Weeds,18059
Black,5708
Jeremy,5709
Porch,5711
Yellow Ledbetter,5963
When Worlds Collide,15249
Head Like a Hole,15548
Right Here, Right Now,8570
Blind,17430
Faget,19452
Freak on a Leash,13554
Dead Bodies Everywhere,13556
Right Now,13488
Did My Time,13493
Evolution,17446
Sex Type Thing,6827
Flashpoint,17277
El Phantasmo and the Chicken-Run Blast-O-Rama,11316
Electric Head, Pt. 1 (The Agony),11308
Potters Field,10839
Karmadrome,6068
Get the Girl! Kill the Baddies!,6062
Touched by the Hand of Cicciolina,6030
Dance of the Mad Bastards,6031
Beaver Patrol,6053
Voices,11081
Down With the Sickness,11084
Liberate,11140
Ten Thousand Fists,11066
Sons of Plunder,11072
Land of Confusion,11076
How It Is,19522
What Makes Us Tick,19520
Zero Signal,17272
Dog Day Sunrise,17275
N.W.O,6376
Jesus Built My Hotrod,6384
Psalm 69,6388
Scum of the Earth,12212
A Drug Against War,17531
Walk,15507
Epic,7379
Shock,17241
Heart of Glass,7825
The Hardest Part,7874
Dragula (Si Non Oscillas, Noli Tintinnare mix),12215
States of Mind,9763
Switch,9765
ATWA,19827
Chop Suey!,19824
Toxicity,19830
Sonne,8202
Ich will,8203
Feuer frei!,8204
Reise, Reise,8188
Mein Teil,8189
Keine Lust,8191
Amerika,8193
Moskau,8194
Ich bin ein Ausländer,6081
Kick to Kill,6082
Familus Horribilus,6083
Underbelly,6084
Fatman,6085
Home,6086
Cape Connection,6087
Menofearthereaper,6088
Everything's Cool,6089
R.S.V.P.,6090
Babylon,6091
Bradley,15275
No Rain,16693
Title,Key
From Here to Eternity,18000
The Trooper,16564
Run to the Hills,16561
The Number of the Beast,16562
My Michelle,10507
Nightrain,10503
Welcome to the Jungle,10501
Estranged,10432
14 Years,10461
Knockin’ on Heaven’s Door,10412
Civil War,10460
November Rain,10484
Right Next Door to Hell,10475
Songbird,13738
Don’t Stop,13736
Second Hand News,13733
Gold Dust Woman,13743
The Chain,13739
Go Your Own Way,13737
Desensitised,9782
Book of Flies,9777
Eject,9773
Holy Wars… The Punishment Due,18567
Symphony of Destruction,9749
Hangar 18,18568
Seasons in the Abyss,9971
Skeletons of Society,9876
War Ensemble,9870
Piece by Piece,9882
Raining Blood,9890
Blood for Blood,9720
Old,9714
Davidian,9713
Imagine,14935
People Are People,14940
What’s Going On,14937
Blue,14924
Judith,14891
Neck Freak,19504
Stop It You’re Killing Me,19481
Nowhere,19482
Screamager,19479
Get the Girl! Kill the Baddies!,6062
Wise Up! Sucker,6028
Can U Dig It?,6066
Sex Type Thing,6827
Creep,6832
Interstate Love Song,6817
Loveshit,18923
News of the World,18927
TV Tan,18920
Greetings From Shitsville,18919
Demanufacture,17270
Stupify,11083
A Murder of One,14332
Ghost Train,14316
Round Here,14313
Mr. Jones,14324
The Arrival,10374
It Makes No Difference Who We Are,10375
Louder Than Words,10377
The Lucky One,10378
Unshakeable,10379
I Can’t Wait,10380
Eon,10381
So Long Sentiment,10382
Gift for You,10383
The Seven Sisters,10384
The Best It’s Gonna Get,10385
Memories of a Girl I Haven’t Met,10386
Birthright,10387
Tainted,10388
Against the Tide,10389
The Departure,10390
One Way or Another,7817
The Tide Is High,7856
Atomic,7881
Heart of Glass,7825
Dead,10518
Ice Rock,10515
Gorilla Beat,10516
Hard-On Rock,10524
Amazons From Outer Space,10521
Union Town,11848
Solidarity Forever,11851
A Wall Against the Wind,11853
16 Tons,11854
This Land Is Your Land,11855
I Dreamed I Saw Joe Hill Last Night,11856
Union Song (live in Madison, WI),11857
Which Side Are You On?,11852
Jesus Frankenstein,12160
Virgin Witch,12165
Dragula,12229
Grindhouse (A Go‐Go),11304
I Am Legend,11300
Soul‐Crusher,11297
Black Sunshine,11296
Thunder Kiss ’65,11295
I, Zombie,11314
Real Solution #9,11310
I’m Your Boogie Man,15103
Thunder Kiss ’65 (Jdevil Number of the Beast remix),12141
Only,6473
With Teeth,6472
All the Love in the World,6466
Starfuckers, Inc.,6502
We’re in This Together,6513
March of the Pigs,6538
Piggy,6536
Mr. Self Destruct,6535
Sin,15554
Sanctified,15551
Copy of A,15534
Hurt,6548
Last Kiss,5732
I Am Mine,5769
Love Boat Captain,5766
State of Love and Trust,5915
Speed of Sound,6009
Better Man,5759
Spin the Black Circle,5750
Insignificance,5741
Nothing as It Seems,5739
Light Years,5738
Breakerfall,5735
Daughter,5823
Alive,5706
Jeremy,5841
Wave of Mutilation,12858
Debaser,12856
Here Comes Your Man,12860
Allison,12818
Is She Weird,12819
Ana,12820
All Over the World,12821
Dig for Fire,12822
Down to the Well,12823
The Happening,12824
Blown Away,12825
Hang Wire,12826
Stormy Weather,12827
Havalina,12828
Say Hello 2 Heaven,15319
Diamonds on My Windshield,20225
The Man with the Child in His Eyes  (2018 Remaster),10712
Babooshka  (2018 Remaster),10724
Wuthering Heights,17687
I Want Your (Hands on Me),6927
Evidence,7365
Big Empty,6821
Vasoline,6815
Perfect Blue Buildings,14312
Raining in Baltimore,14331
Anna Begins,14308
Teenage Nosferatu Pussy,12128
Oh Daddy,13742
The Nurse Who Loved Me,14929
This Time,18054
The Hand That Feeds,6469
Mind Your Manners,5809
Used to Love Her,10441
Patience,10410
Elderly Woman Behind the Counter in a Small Town,5824
Everlong,7704
Learn to Fly,7707
Man on the Moon,12264
The Outsider,14927
Epic,7379
Swagger,7063
Yellow Ledbetter,5963
Porch,5711
Jeremy,5709
Ten Ton Hammer,18221
Got Me Wrong,14549
Man in the Box,20451
Zero Signal,17272
Dog Day Sunrise,17275
Psalm 69,6388
N.W.O,6376
Walk,15507
A Drug Against War,17531
Scum of the Earth,12212
Outshined,6233
Just Breathe,6005
Weeds,18059
Lost at 22,18074
Thunderstruck,14823
Wish,15392
Beaver Patrol,6053
I Like Goils,18658
Electric Head, Pt. 1 (The Agony),11308
Nutshell,14613
Get Up,12281
Battle Hymns,11878
Saint Isabelle,11865
Survivalism,6451
The Beginning of the End,6450
Drunk on the Moon,20230
Fumblin’ With the Blues,20227
Shiver Me Timbers,20224
San Diego Serenade,20222
New Coat of Paint,20221
Semi Suite,20223
Please Call Me, Baby,20228
Depot, Depot,20229
The Ghosts of Saturday Night (After Hours at Napoleone’s Pizza House),20231
Living Dead Girl (Subliminal Seduction mix),12218
Meet The Creeper,12235
