Track,Artist,Album,isFound
Fear Of The Dark - 1998 Remastered Version,Iron Maiden,Fear Of The Dark (1998 Remastered Edition),0
Seventh Son of a Seventh Son - 1998 Remaster,Iron Maiden,Seventh Son Of A Seventh Son (1998 Remastered Edition),0
Fear Of The Dark - 1998 Remastered Version,Iron Maiden,Ed Hunter,0
End Of The World Show,Senser,How To Do Battle,0
Resistance Now,Senser,How To Do Battle,0
Kill Your Idols,Static-X,Shadow Zone,0
Monster,Static-X,Shadow Zone,0
Love Me,Elvis Presley,Elvis,0
Jailhouse Rock,Elvis Presley,Elvis 30 #1 Hits,0
Suspicious Minds,Elvis Presley,Elvis 75 - Good Rockin' Tonight,0
Can't Help Falling in Love,"Elvis Presley, The Jordanaires",Elvis 75 - Good Rockin' Tonight,0
Halo,Machine Head,The Blackening,0
Used To Love Her,Voodoo Glow Skulls,"Adiccion, Tradicion Y Revolucion",0
Disaster,Voodoo Glow Skulls,"Adiccion, Tradicion Y Revolucion",0
Mayhem And Murder,Voodoo Glow Skulls,"Adiccion, Tradicion Y Revolucion",0
Ghettoblaster,Voodoo Glow Skulls,"Adiccion, Tradicion Y Revolucion",0
Delinquent Song,Voodoo Glow Skulls,Punk-O-Rama 3,0
What It Is To Burn,Finch,What It Is To Burn,0
Letters To You,Finch,What It Is To Burn,0
Fury Of The Storm,DragonForce,Sonic Firestorm (2010 Edition),0
Valley Of The Damned - Remastered 2009,DragonForce,Valley of the Damned (2010 Edition),0
Through the Fire and Flames,DragonForce,Inhuman Rampage (Special Edition),0
Blackstar (Deluxe Edition),Celldweller,Wish Upon a Blackstar (Deluxe Edition),0
Frozen,Celldweller,Celldweller,0
Stay With Me (Unlikely),Celldweller,Celldweller,0
Switchback,Celldweller,Celldweller,0
Ballroom Blitz,Batmobile,Psychobilly Goes Pop,0
World Wide Rebel Songs,"Tom Morello, The Nightwatchman",Occupy This Album,0
'Til The Money Runs Out,Tom Waits,Heartattack And Vine,0
Heartattack And Vine,Tom Waits,Heartattack And Vine,0
The Heart Of Saturday Night,Tom Waits,The Heart Of Saturday Night,0
"Get Down, Make Love - Remastered",Nine Inch Nails,Pretty Hate Machine: 2010 Remaster (International Version),0
Soldier of Love,Pearl Jam,Last Kiss,0
Go - Remastered,Pearl Jam,Vs.,0
Post Script,Finch,What It Is To Burn,0
1985,Bowling For Soup,A Hangover You Don't Deserve,0
Waiting,Green Day,Warning,0
Everything Is Alright,Motion City Soundtrack,Commit This To Memory,0
What It Is To Burn - New Version,Finch,What It Is To Burn,0
All The Small Things,blink-182,Enema Of The State,0
Roadhouse Blues - New Stereo Mix,The Doors,The Future Starts Here: The Essential Doors Hits,0
The King Will Come,Wishbone Ash,Argus,0
Been Caught Stealing - 2006 Remaster,Jane's Addiction,Up from the Catacombs: The Best of Jane's Addiction,0
Wild Thing (Re-Recorded),The Troggs,60s Classics,0
Hold the Line,TOTO,Toto,0
American Girl,Tom Petty and the Heartbreakers,Anthology: Through The Years,0
Whiskey Man,Molly Hatchet,Pure... Rock,0
Purple Haze,Jimi Hendrix,Experience Hendrix: The Best Of Jimi Hendrix,0
All Right Now,Free,70s Classic Rock,0
Whole Lotta Love,"Santana, Chris Cornell",Guitar Heaven: The Greatest Guitar Classics Of All Time,0
Are You Gonna Go My Way,Lenny Kravitz,Are You Gonna Go My Way,0
Honky Tonk Women - Mono Version,The Rolling Stones,"Through The Past, Darkly (Big Hits Vol. 2) [UK Version]",0
Janie's Got A Gun,Aerosmith,20th Century Masters: The Millennium Collection: The Best Of Aerosmith,0
Unskinny Bop,Poison,The Best Of - 20 Years Of Rock,0
I Remember You,Skid Row,Rhino Hi-Five: Skid Row,0
"Blaze Of Glory - From ""Young Guns II"" Soundtrack",Jon Bon Jovi,Bon Jovi Greatest Hits,0
What You Do To Me,Teenage Fanclub,Bandwagonesque,0
Stop,Jane's Addiction,Ritual De Lo Habitual,0
Soul to Squeeze,Red Hot Chili Peppers,Greatest Hits,0
Somebody to Shove (2022 Remaster),Soul Asylum,Grave Dancers Union (2022 Remaster),0
Smoke Two Joints,Sublime,40oz To Freedom (Explicit Version),0
She,Green Day,Dookie,0
Self-Esteem,The Offspring,Smash [Remastered],0
Scooby Snacks,Fun Lovin' Criminals,Come Find Yourself,0
Nearly Lost You,Screaming Trees,Sweet Oblivion,0
Laid,James,Laid,0
Friday I'm in Love,The Cure,Wish,0
Confetti,The Lemonheads,It's A Shame About Ray [Expanded Edition],0
Cornflake Girl,Tori Amos,Under the Pink,0
Cannonball,The Breeders,Last Splash,0
Can't Shake You,Gloriana,A Thousand Miles Left Behind,0
Whatever She's Got,David Nail,Whatever She's Got,0
To Whom It May Concern,The Civil Wars,Barton Hollow,0
Hard To Love,Lee Brice,Hard 2 Love,0
Jolene,Dolly Parton,Jolene (Expanded Edition),0
Poison & Wine,The Civil Wars,Barton Hollow,0
Sex on Fire,Kings of Leon,Only By The Night,0
Mr. Brightside,The Killers,Hot Fuss,0
Dr. Feelgood,Mötley Crüe,Dr. Feel Good,0
Sunshine Of Your Love,Cream,Disraeli Gears,0
Walk This Way,Aerosmith,Aerosmith's Greatest Hits,0
Poison,Alice Cooper,Playlist: The Very Best Of Alice Cooper,0
Black Betty,Ram Jam,The Dukes Of Hazzard (Music From The Motion Picture),0
Free Fallin',Tom Petty,Full Moon Fever,0
More Than Words,Extreme,Extreme II - Pornograffitti,0
All Along The Watchtower,Jimi Hendrix,Music From The Motion Picture Watchmen,0
I Was Made For Lovin' You,KISS,Smashes Thrashes & Hits,0
All Summer Long,Kid Rock,Rock n Roll Jesus,0
Any Way You Want It,Journey,The Essential Journey,0
The House of the Rising Sun - Rerecorded Version,The Animals,Greatest Hits,0
Psychosocial,Slipknot,All Hope Is Gone,0
Baba O'Riley,The Who,Thirty Years Of Maximum R&B,0
The Final Countdown,Europe,The Final Countdown (Expanded Edition),0
Are You Gonna Be My Girl,Jet,Get Born,0
More Than a Feeling,Boston,Boston,0
Sultans of Swing,Dire Straits,"A History of Rock, Vol. 1",0
Sympathy For The Devil,The Rolling Stones,Middle Men (Original Motion Picture Soundtrack),0
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,Armageddon - The Album,0
Sweet Home Alabama,Lynyrd Skynyrd,The Essential Lynyrd Skynyrd,0
Eye of the Tiger,Survivor,Rocky IV,0
Stay,Shakespears Sister,Shakespears Sister - Best Of,0
Linoleum,NOFX,Punk In Drublic,0
Black Magic Woman - Live Version,Fleetwood Mac,Black Magic - The Best of the Early Years,0
Starlight (feat. Myles Kennedy),"Slash, Myles Kennedy",Slash (Special Edition),0
Runaround Sue - Remastered 1991,Dion,The Best Of Dion & The Belmonts,0
Magic Carpet Ride,Steppenwolf,Born To Be Wild (Best Of....),0
Ramblin' Man,Lemon Jelly,Lost Horizons,0
Control,Poe,Haunted,0
Girl,T. Rex,Electric Warrior (Deluxe Edition),0
Gimme Shelter,"Paul Brady, The Forest Rangers",Songs of Anarchy: Music from Sons of Anarchy Seasons 1-4,0
My Last Serenade,Killswitch Engage,Alive or Just Breathing,0
Celebrity Skin,Hole,Celebrity Skin,0
A Shogun Named Marcus,Clutch,"Transnational Speedway League: Anthems, Anecdotes And Undeniable Truths",0
No Fronts,Dog Eat Dog,All Boro Kings,0
Safe Home,Anthrax,Safe Home,0
Goldfinger,Ash,1977,0
Machinehead,Bush,Sixteen Stone,0
I Alone,Live,Throwing Copper,0
Judgment Night,"Biohazard, Onyx",Judgement Night - Music From The Motion Picture,0
The Fun Lovin' Criminal,Fun Lovin' Criminals,"A-sides, B-sides and Rarities",0
My Curse,Killswitch Engage,As Daylight Dies (Special Edition),0
One Way,Levellers,The Best Of [Remastered],0
Hope Street,Levellers,The Best Of [Remastered],0
Perseverance,Terrorvision,Alternative,0
My House,Terrorvision,The Essential Terrorvision,0
Step Down,Sick Of It All,Scratch The Surface,0
"Snap Your Fingers, Snap Your Neck",Prong,Cleansing,0
Scratch The Surface,Sick Of It All,Scratch The Surface,0
"Motley Crue/Girls, Girls, Girls",Various Artists,"Girls, Girls, Girls",0
Everything About You,Ugly Kid Joe,America's Least Wanted,0
Halo,Soil,Scars (Expanded Edition),0
Just So You Know,American Head Charge,The War Of Art,0
Guilty,Gravity Kills,Gravity Kills,0
I Wanna Be A Drug-Sniffing Dog,Lard,Pure Chewing Satisfaction,0
I'm With Stupid,Static-X,Wisconsin Death Trip,0
Inside Out,Anthrax,Music Of Mass Destruction,0
Holiday In Cambodia,Dead Kennedys,OMFG! That’s Punk,0
Mama Said Knock You Out,Senser,Biting Rhymes,0
Hobo Humpin' Slobo Babe,Whale,We Care,0
You Suck - (Album Version),Consolidated,Nettwerk: 25 Years of Music,0
Selling The Drama,Live,Throwing Copper,0
Bleeding Love,The Baseballs,Strike!,0
Chaos Lives in Everything (feat. Skrillex),"Korn, Skrillex",The Path of Totality (Special Edition),0
Kill Mercy Within (feat. Noisia),"Korn, Noisia",The Path of Totality (Special Edition),0
Narcissistic Cannibal (feat. Skrillex & Kill the Noise),"Korn, Skrillex, Kill The Noise",The Path of Totality (Special Edition),0
Illuminati (feat. Excision and Downlink),"Korn, Excision, Downlink",The Path of Totality (Special Edition),0
Burn the Obedient (feat. Noisia),"Korn, Noisia",The Path of Totality (Special Edition),0
Sanctuary (feat. Downlink),"Korn, Downlink",The Path of Totality (Special Edition),0
Let's Go (feat. Noisia),"Korn, Noisia",The Path of Totality (Special Edition),0
Way Too Far (feat. 12th Planet & Flinch),"Korn, 12th Planet, Flinch",The Path of Totality (Special Edition),0
Bleeding Out (feat. Feed Me),"Korn, Feed Me",The Path of Totality (Special Edition),0
Fuels the Comedy (feat. Kill the Noise),"Korn, Kill The Noise",The Path of Totality (Special Edition),0
"Tension (feat. Excision, Datsik and Downlink)","Korn, Datsik, Downlink, Excision",The Path of Totality (Special Edition),0
